Province/State,Country/Region,Lat,Long,Date,Number of confirmed cases
St Martin,France,18.0708,-63.0501,4/19/20,37
Wallis and Futuna,France,-14.2938,-178.1165,4/19/20,0
,France,46.2276,2.2137,4/19/20,150752
,Italy,41.87194,12.56738,4/19/20,178972
,US,40.0,-100.0,4/19/20,768888
,Vietnam,14.058324,108.277199,4/19/20,268
French Guiana,France,3.9339,-53.1258,4/20/20,97
French Polynesia,France,-17.6797,149.4068,4/20/20,56
Guadeloupe,France,16.265,-61.551,4/20/20,148
Martinique,France,14.6415,-61.0242,4/20/20,163
Mayotte,France,-12.8275,45.166244,4/20/20,271
New Caledonia,France,-20.904305,165.618042,4/20/20,18
Reunion,France,-21.1151,55.5364,4/20/20,408
Saint Barthelemy,France,17.9,-62.8333,4/20/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/20/20,1
St Martin,France,18.0708,-63.0501,4/20/20,37
Wallis and Futuna,France,-14.2938,-178.1165,4/20/20,0
,France,46.2276,2.2137,4/20/20,153197
,Italy,41.87194,12.56738,4/20/20,181228
,US,40.0,-100.0,4/20/20,799531
,Vietnam,14.058324,108.277199,4/20/20,268
French Guiana,France,3.9339,-53.1258,4/21/20,97
French Polynesia,France,-17.6797,149.4068,4/21/20,56
Guadeloupe,France,16.265,-61.551,4/21/20,148
Martinique,France,14.6415,-61.0242,4/21/20,163
Mayotte,France,-12.8275,45.166244,4/21/20,311
New Caledonia,France,-20.904305,165.618042,4/21/20,18
Reunion,France,-21.1151,55.5364,4/21/20,410
Saint Barthelemy,France,17.9,-62.8333,4/21/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/21/20,1
St Martin,France,18.0708,-63.0501,4/21/20,37
Wallis and Futuna,France,-14.2938,-178.1165,4/21/20,0
,France,46.2276,2.2137,4/21/20,155821
,Italy,41.87194,12.56738,4/21/20,183957
,US,40.0,-100.0,4/21/20,825478
,Vietnam,14.058324,108.277199,4/21/20,268
French Guiana,France,3.9339,-53.1258,4/22/20,97
French Polynesia,France,-17.6797,149.4068,4/22/20,57
Guadeloupe,France,16.265,-61.551,4/22/20,148
Martinique,France,14.6415,-61.0242,4/22/20,164
Mayotte,France,-12.8275,45.166244,4/22/20,326
New Caledonia,France,-20.904305,165.618042,4/22/20,18
Reunion,France,-21.1151,55.5364,4/22/20,410
Saint Barthelemy,France,17.9,-62.8333,4/22/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/22/20,1
St Martin,France,18.0708,-63.0501,4/22/20,37
Wallis and Futuna,France,-14.2938,-178.1165,4/22/20,0
,France,46.2276,2.2137,4/22/20,157603
,Italy,41.87194,12.56738,4/22/20,187327
,US,40.0,-100.0,4/22/20,855445
,Vietnam,14.058324,108.277199,4/22/20,268
French Guiana,France,3.9339,-53.1258,4/23/20,107
French Polynesia,France,-17.6797,149.4068,4/23/20,57
Guadeloupe,France,16.265,-61.551,4/23/20,148
Martinique,France,14.6415,-61.0242,4/23/20,164
Mayotte,France,-12.8275,45.166244,4/23/20,326
New Caledonia,France,-20.904305,165.618042,4/23/20,18
Reunion,France,-21.1151,55.5364,4/23/20,412
Saint Barthelemy,France,17.9,-62.8333,4/23/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/23/20,1
St Martin,France,18.0708,-63.0501,4/23/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/23/20,0
,France,46.2276,2.2137,4/23/20,155881
,Italy,41.87194,12.56738,4/23/20,189973
,US,40.0,-100.0,4/23/20,887523
,Vietnam,14.058324,108.277199,4/23/20,268
French Guiana,France,3.9339,-53.1258,4/24/20,111
French Polynesia,France,-17.6797,149.4068,4/24/20,57
Guadeloupe,France,16.265,-61.551,4/24/20,149
Martinique,France,14.6415,-61.0242,4/24/20,170
Mayotte,France,-12.8275,45.166244,4/24/20,354
New Caledonia,France,-20.904305,165.618042,4/24/20,18
Reunion,France,-21.1151,55.5364,4/24/20,412
Saint Barthelemy,France,17.9,-62.8333,4/24/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/24/20,1
St Martin,France,18.0708,-63.0501,4/24/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/24/20,0
,France,46.2276,2.2137,4/24/20,158653
,Italy,41.87194,12.56738,4/24/20,192994
,US,40.0,-100.0,4/24/20,919014
,Vietnam,14.058324,108.277199,4/24/20,270
French Guiana,France,3.9339,-53.1258,4/25/20,111
French Polynesia,France,-17.6797,149.4068,4/25/20,57
Guadeloupe,France,16.265,-61.551,4/25/20,149
Martinique,France,14.6415,-61.0242,4/25/20,175
Mayotte,France,-12.8275,45.166244,4/25/20,380
New Caledonia,France,-20.904305,165.618042,4/25/20,18
Reunion,France,-21.1151,55.5364,4/25/20,417
Saint Barthelemy,France,17.9,-62.8333,4/25/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/25/20,1
St Martin,France,18.0708,-63.0501,4/25/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/25/20,0
,France,46.2276,2.2137,4/25/20,160295
,Italy,41.87194,12.56738,4/25/20,195351
,US,40.0,-100.0,4/25/20,949640
,Vietnam,14.058324,108.277199,4/25/20,270
French Guiana,France,3.9339,-53.1258,4/26/20,111
French Polynesia,France,-17.6797,149.4068,4/26/20,57
Guadeloupe,France,16.265,-61.551,4/26/20,149
Martinique,France,14.6415,-61.0242,4/26/20,175
Mayotte,France,-12.8275,45.166244,4/26/20,401
New Caledonia,France,-20.904305,165.618042,4/26/20,18
Reunion,France,-21.1151,55.5364,4/26/20,417
Saint Barthelemy,France,17.9,-62.8333,4/26/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/26/20,1
St Martin,France,18.0708,-63.0501,4/26/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/26/20,0
,France,46.2276,2.2137,4/26/20,160907
,Italy,41.87194,12.56738,4/26/20,197675
,US,40.0,-100.0,4/26/20,975537
,Vietnam,14.058324,108.277199,4/26/20,270
French Guiana,France,3.9339,-53.1258,4/27/20,111
French Polynesia,France,-17.6797,149.4068,4/27/20,57
Guadeloupe,France,16.265,-61.551,4/27/20,149
Martinique,France,14.6415,-61.0242,4/27/20,175
Mayotte,France,-12.8275,45.166244,4/27/20,401
New Caledonia,France,-20.904305,165.618042,4/27/20,18
Reunion,France,-21.1151,55.5364,4/27/20,418
Saint Barthelemy,France,17.9,-62.8333,4/27/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/27/20,1
